match_id,date,queue_id,game_mode,game_type,patch,role,champion,win,kills,deaths,assists,team_kills,team_deaths,team_assists,cs,cs_per_min,vision_score,vision_score_per_min,wards_placed,wards_killed,control_wards_bought,gold_earned,total_damage_to_champions,game_duration_seconds,game_duration_min
JP1_592855756,2026-07-16 00:40:48,420,CLASSIC,MATCHED_GAME,16.14.794.5912,UTILITY,Morgana,True,3,8,14,42,37,45,38,1.11,88,2.58,47,6,10,10415,19046,2047,34.12
JP1_592844137,2026-07-15 23:41:56,420,CLASSIC,MATCHED_GAME,16.14.794.5912,UTILITY,Nami,True,2,8,29,54,34,84,23,0.68,86,2.53,33,7,8,10545,11414,2039,33.98
JP1_592833784,2026-07-15 22:58:44,420,CLASSIC,MATCHED_GAME,16.14.794.5912,UTILITY,Nami,True,1,0,8,15,3,12,32,1.17,75,2.73,32,6,6,7327,3929,1647,27.45
JP1_592827787,2026-07-15 22:34:16,420,CLASSIC,MATCHED_GAME,16.14.794.5912,UTILITY,Seraphine,True,1,1,5,14,4,15,19,1.03,32,1.74,16,2,4,5064,8845,1104,18.4
JP1_592709920,2026-07-14 23:36:35,420,CLASSIC,MATCHED_GAME,16.13.791.5903,UTILITY,Nami,True,0,2,18,26,12,43,35,0.94,118,3.17,53,13,22,10099,8156,2231,37.18
JP1_592700375,2026-07-14 22:49:50,420,CLASSIC,MATCHED_GAME,16.13.791.5903,UTILITY,Nami,False,0,10,13,26,44,31,31,0.78,103,2.6,39,10,17,9917,10561,2381,39.68
JP1_592594621,2026-07-14 01:02:29,420,CLASSIC,MATCHED_GAME,16.13.791.5903,UTILITY,Nami,True,1,4,11,22,24,33,37,1.08,112,3.25,51,11,18,9346,7606,2065,34.42
JP1_592588648,2026-07-14 00:22:46,420,CLASSIC,MATCHED_GAME,16.13.791.5903,UTILITY,Nami,True,3,3,13,25,20,41,26,0.86,82,2.7,37,6,7,9473,7563,1822,30.37
JP1_592582664,2026-07-13 23:51:38,420,CLASSIC,MATCHED_GAME,16.13.791.5903,UTILITY,Nami,True,1,4,12,25,11,29,21,0.85,53,2.15,27,4,6,6417,5942,1480,24.67
JP1_592470895,2026-07-13 02:05:19,420,CLASSIC,MATCHED_GAME,16.13.791.5903,UTILITY,Nami,False,0,7,2,7,28,6,28,1.03,53,1.96,20,1,8,5913,2440,1626,27.1
JP1_592468449,2026-07-13 01:29:17,420,CLASSIC,MATCHED_GAME,16.13.791.5903,UTILITY,Nami,False,0,6,6,12,31,14,22,0.8,64,2.31,28,4,16,6446,6207,1659,27.65
JP1_592307679,2026-07-12 03:11:38,420,CLASSIC,MATCHED_GAME,16.13.791.5903,UTILITY,Nami,False,0,8,10,19,43,26,28,0.82,84,2.47,40,6,8,8421,7489,2037,33.95
JP1_592306373,2026-07-12 02:46:15,420,CLASSIC,MATCHED_GAME,16.13.791.5903,TOP,Olaf,False,0,6,0,4,20,6,77,3.76,14,0.68,7,1,0,4626,3978,1229,20.48
JP1_592134035,2026-07-11 03:42:29,400,CLASSIC,MATCHED_GAME,16.13.791.5903,UTILITY,Nami,False,1,4,15,27,39,56,50,0.84,155,2.6,69,7,20,14334,12552,3576,59.6
JP1_592130272,2026-07-11 03:06:21,400,CLASSIC,MATCHED_GAME,16.13.791.5903,MIDDLE,Lissandra,False,3,7,0,15,37,16,126,4.67,25,0.93,11,2,4,8126,14073,1620,27.0
JP1_591847983,2026-07-09 02:55:25,400,CLASSIC,MATCHED_GAME,16.13.791.5903,UTILITY,Nami,True,1,10,28,43,51,80,41,0.95,123,2.86,57,13,20,12025,7371,2581,43.02
JP1_591845835,2026-07-09 02:17:09,400,CLASSIC,MATCHED_GAME,16.13.791.5903,UTILITY,Rakan,True,1,5,13,30,21,44,36,1.11,77,2.38,35,8,13,9221,4723,1945,32.42
JP1_591434669,2026-07-06 02:03:51,400,CLASSIC,MATCHED_GAME,16.13.791.5903,UTILITY,Nami,True,2,3,11,27,21,35,24,0.79,76,2.49,35,6,8,8419,7295,1833,30.55
JP1_591429144,2026-07-06 01:07:17,400,CLASSIC,MATCHED_GAME,16.13.791.5903,UTILITY,Morgana,True,3,9,12,31,41,43,48,1.22,93,2.36,42,3,6,11834,30333,2363,39.38
JP1_591420730,2026-07-06 00:23:00,400,CLASSIC,MATCHED_GAME,16.13.791.5903,UTILITY,Milio,True,1,1,11,28,16,33,40,1.28,75,2.39,37,4,9,8562,7240,1881,31.35
JP1_591256919,2026-07-05 03:21:23,400,CLASSIC,MATCHED_GAME,16.13.791.5903,UTILITY,Nami,True,3,2,13,26,11,34,32,1.22,64,2.43,24,3,9,8790,7021,1578,26.3
JP1_591064825,2026-07-04 03:01:40,400,CLASSIC,MATCHED_GAME,16.13.791.5903,UTILITY,Nami,False,0,4,2,9,28,7,35,1.26,70,2.53,30,4,10,6096,7953,1663,27.72
JP1_590908218,2026-07-03 01:48:19,400,CLASSIC,MATCHED_GAME,16.13.791.5903,MIDDLE,Galio,True,2,4,16,40,14,52,153,4.85,36,1.14,18,3,8,9775,18279,1892,31.53
JP1_590617657,2026-07-01 00:21:19,400,CLASSIC,MATCHED_GAME,16.13.791.5903,UTILITY,Nami,True,0,1,19,27,11,37,24,0.71,99,2.94,47,5,13,9231,8759,2019,33.65
